time;reference;observation
 22.684122;6500.000000;6520.000000
 22.689199;6500.000000;6518.000000
 22.694124;6500.000000;6518.000000
 22.699121;6500.000000;6516.000000
 22.704123;6500.000000;6514.000000
 22.709122;6500.000000;6515.000000
 22.714125;6500.000000;6515.000000
 22.719124;6500.000000;6509.000000
 22.724121;6500.000000;6290.000000
 22.729122;6500.000000;6068.000000
 22.734121;6500.000000;5672.000000
 22.739124;6500.000000;5324.000000
 22.744127;6500.000000;5375.000000
 22.749125;6500.000000;5720.000000
 22.754126;6500.000000;5994.000000
 22.759123;6000.000000;6259.000000
 22.764126;6000.000000;6334.000000
 22.769119;6000.000000;6325.000000
 22.774124;6000.000000;6243.000000
 22.779121;6000.000000;6204.000000
 22.784122;6000.000000;6146.000000
 22.789225;6000.000000;6084.000000
 22.794125;6000.000000;6117.000000
 22.799122;6000.000000;6097.000000
 22.804127;6000.000000;6056.000000
 22.809118;6000.000000;6091.000000
 22.814123;6000.000000;6095.000000
 22.819122;6000.000000;6059.000000
 22.824123;6000.000000;6089.000000
 22.829123;6000.000000;6087.000000
 22.834122;6000.000000;6058.000000
 22.839121;6000.000000;6079.000000
 22.844126;6000.000000;6063.000000
 22.849125;6000.000000;6052.000000
 22.854124;6000.000000;6077.000000
 22.859133;6000.000000;6064.000000
 22.864126;6000.000000;6066.000000
 22.869123;6000.000000;6058.000000
 22.874125;6000.000000;6063.000000
 22.879122;6000.000000;6063.000000
 22.884123;6000.000000;6062.000000
 22.889120;6000.000000;6062.000000
 22.894127;6000.000000;6058.000000
 22.899122;6000.000000;6031.000000
 22.904123;6000.000000;6041.000000
 22.909122;6000.000000;6042.000000
 22.914122;6000.000000;6044.000000
 22.919127;6000.000000;6045.000000
 22.924128;6000.000000;6066.000000
 22.929123;6000.000000;6028.000000
 22.934122;6000.000000;6036.000000
 22.939121;6000.000000;6045.000000
 22.944126;6000.000000;6066.000000
 22.949121;6000.000000;6028.000000
 22.954126;6000.000000;6038.000000
 22.959118;6000.000000;6046.000000
 22.964128;6000.000000;6046.000000
 22.969126;6000.000000;6035.000000
 22.974123;6000.000000;6038.000000
 22.979118;6000.000000;6026.000000
 22.984123;6000.000000;6039.000000
 22.989120;6000.000000;6045.000000
 22.994125;6000.000000;6034.000000
 22.999123;6000.000000;6044.000000
 23.004124;6000.000000;6032.000000
 23.009123;6000.000000;6042.000000
 23.014122;6000.000000;6032.000000
 23.019123;6000.000000;6020.000000
 23.024122;6000.000000;6030.000000
 23.029121;6000.000000;6024.000000
 23.034122;6000.000000;6040.000000
 23.039122;6000.000000;6030.000000
 23.044125;6000.000000;6021.000000
 23.049124;6000.000000;6016.000000
 23.054127;6000.000000;6028.000000
 23.059122;6000.000000;6022.000000
 23.064121;6000.000000;6016.000000
 23.069120;6000.000000;6041.000000
 23.074127;6000.000000;6023.000000
 23.079121;6000.000000;6018.000000
 23.084126;6000.000000;6019.000000
 23.089123;6000.000000;6015.000000
 23.094126;6000.000000;6042.000000
 23.099121;6000.000000;6021.000000
 23.104118;6000.000000;6018.000000
 23.109118;6000.000000;6017.000000
 23.114122;6000.000000;6017.000000
 23.119123;6000.000000;6015.000000
 23.124125;6000.000000;6042.000000
 23.129122;6000.000000;6020.000000
 23.134123;6000.000000;6018.000000
 23.139120;6000.000000;6016.000000
 23.144123;6000.000000;5981.000000
 23.149124;6000.000000;5780.000000
 23.154125;6000.000000;5584.000000
 23.159122;6000.000000;5555.000000
 23.164122;6000.000000;5410.000000
 23.169125;6000.000000;5432.000000
 23.174126;6000.000000;5457.000000
 23.179117;6000.000000;5601.000000
 23.184132;6000.000000;5781.000000
 23.189121;6000.000000;5900.000000
 23.194126;6000.000000;5965.000000
 23.199121;6000.000000;6028.000000
 23.204124;6000.000000;6049.000000
 23.209124;6000.000000;6078.000000
 23.214123;6000.000000;6065.000000
 23.219126;6000.000000;6080.000000
 23.224123;6000.000000;6084.000000
 23.229124;6000.000000;6082.000000
 23.234123;6000.000000;6088.000000
 23.239122;6000.000000;6084.000000
 23.244125;6000.000000;6076.000000
 23.249123;6000.000000;6080.000000
 23.254126;6000.000000;6077.000000
 23.259121;6000.000000;6071.000000
 23.264124;5500.000000;6078.000000
 23.269123;5500.000000;6011.000000
 23.274124;5500.000000;5889.000000
 23.279125;5500.000000;5778.000000
 23.284122;5500.000000;5673.000000
 23.289120;5500.000000;5622.000000
 23.294125;5500.000000;5572.000000
 23.299128;5500.000000;5548.000000
 23.304127;5500.000000;5531.000000
 23.309122;5500.000000;5521.000000
 23.314121;5500.000000;5503.000000
 23.319120;5500.000000;5532.000000
 23.324121;5500.000000;5526.000000
 23.329123;5500.000000;5518.000000
 23.334127;5500.000000;5521.000000
 23.339123;5500.000000;5512.000000
 23.344126;5500.000000;5511.000000
 23.349117;5500.000000;5535.000000
 23.354128;5500.000000;5507.000000
 23.359123;5500.000000;5506.000000
 23.364128;5500.000000;5511.000000
 23.369125;5500.000000;5503.000000
 23.374123;5500.000000;5516.000000
 23.379122;5500.000000;5510.000000
 23.384125;5500.000000;5524.000000
 23.389120;5500.000000;5527.000000
 23.394125;5500.000000;5536.000000
 23.399124;5500.000000;5518.000000
 23.404127;5500.000000;5515.000000
 23.409216;5500.000000;5501.000000
 23.414122;5500.000000;5514.000000
 23.419123;5500.000000;5516.000000
 23.424126;5500.000000;5516.000000
 23.429123;5500.000000;5522.000000
 23.434122;5500.000000;5504.000000
 23.439121;5500.000000;5517.000000
 23.444124;5500.000000;5521.000000
 23.449121;5500.000000;5518.000000
 23.454123;5500.000000;5502.000000
 23.459124;5500.000000;5504.000000
 23.464123;5500.000000;5521.000000
 23.469128;5500.000000;5522.000000
 23.474123;5500.000000;5530.000000
 23.479122;5500.000000;5500.000000
 23.484123;5500.000000;5510.000000
 23.489120;5500.000000;5518.000000
 23.494125;5500.000000;5519.000000
 23.499123;5500.000000;5504.000000
 23.504124;5500.000000;5519.000000
 23.509127;5500.000000;5515.000000
 23.514122;5500.000000;5501.000000
 23.519121;5500.000000;5513.000000
 23.524122;5500.000000;5494.000000
 23.529121;5500.000000;5512.000000
 23.534124;5500.000000;5513.000000
 23.539122;5500.000000;5497.000000
 23.544125;5500.000000;5510.000000
 23.549122;5500.000000;5528.000000
 23.554125;5500.000000;5499.000000
 23.559122;5500.000000;5519.000000
 23.564123;5500.000000;5515.000000
 23.569124;5500.000000;5505.000000
 23.574121;5500.000000;5511.000000
 23.579119;5500.000000;5491.000000
 23.584126;5500.000000;5420.000000
 23.589123;5500.000000;5201.000000
 23.594126;5500.000000;4519.000000
 23.599121;5500.000000;3832.000000
 23.604122;5500.000000;3526.000000
 23.609125;5500.000000;3687.000000
 23.614124;5500.000000;4119.000000
 23.619125;5500.000000;4523.000000
 23.624123;5500.000000;4852.000000
 23.629118;5500.000000;5155.000000
 23.634127;5500.000000;5373.000000
 23.639122;5500.000000;5467.000000
 23.644125;5500.000000;5532.000000
 23.649124;5500.000000;5573.000000
 23.654121;5500.000000;5580.000000
 23.659122;5500.000000;5586.000000
 23.664122;5500.000000;5587.000000
 23.669125;5500.000000;5586.000000
 23.674124;5500.000000;5621.000000
 23.679123;5500.000000;5597.000000
 23.684122;5500.000000;5588.000000
 23.689123;5500.000000;5585.000000
 23.694124;5500.000000;5585.000000
 23.699121;5500.000000;5584.000000
 23.704123;5500.000000;5584.000000
 23.709118;5500.000000;5605.000000
 23.714130;5500.000000;5577.000000
 23.719124;5500.000000;5583.000000
 23.724123;5500.000000;5582.000000
 23.729124;5500.000000;5557.000000
 23.734123;5500.000000;5574.000000
 23.739122;5500.000000;5577.000000
 23.744125;5500.000000;5546.000000
 23.749121;5500.000000;5575.000000
 23.754124;5500.000000;5578.000000
 23.759123;5500.000000;5566.000000
 23.764124;5500.000000;5574.000000
 23.769131;5000.000000;5570.000000
 23.774122;5000.000000;5479.000000
 23.779118;5000.000000;5391.000000
 23.784122;5000.000000;5268.000000
 23.789124;5000.000000;5152.000000
 23.794209;5000.000000;5089.000000
 23.799124;5000.000000;5072.000000
 23.804123;5000.000000;5033.000000
 23.809122;5000.000000;5015.000000
 23.814123;5000.000000;5000.000000
 23.819122;5000.000000;5005.000000
 23.824123;5000.000000;5002.000000
 23.829126;5000.000000;4987.000000
 23.834124;5000.000000;4989.000000
 23.839127;5000.000000;4990.000000
 23.844124;5000.000000;5014.000000
 23.849125;5000.000000;4999.000000
 23.854126;5000.000000;4997.000000
 23.859119;5000.000000;4991.000000
 23.864122;5000.000000;5003.000000
 23.869122;5000.000000;5015.000000
 23.874125;5000.000000;5000.000000
 23.879122;5000.000000;4989.000000
 23.884125;5000.000000;5005.000000
 23.889124;5000.000000;5012.000000
 23.894125;5000.000000;5018.000000
 23.899122;5000.000000;5012.000000
 23.904123;5000.000000;4999.000000
 23.909126;5000.000000;4998.000000
 23.914124;5000.000000;4996.000000
 23.919125;5000.000000;5019.000000
 23.924124;5000.000000;4998.000000
 23.929127;5000.000000;5014.000000
 23.934122;5000.000000;4990.000000
 23.939117;5000.000000;4989.000000
 23.944124;5000.000000;5008.000000
 23.949123;5000.000000;5009.000000
 23.954126;5000.000000;5000.000000
 23.959122;5000.000000;4990.000000
 23.964123;5000.000000;5005.000000
 23.969120;5000.000000;4999.000000
 23.974125;5000.000000;4998.000000
 23.979122;5000.000000;4991.000000
 23.984121;5000.000000;5002.000000
 23.989124;5000.000000;5014.000000
 23.994125;5000.000000;5000.000000
 23.999123;5000.000000;4994.000000
 24.004124;5000.000000;5005.000000
 24.009117;5000.000000;5011.000000
 24.014124;5000.000000;5001.000000
 24.019123;5000.000000;4992.000000
 24.024124;5000.000000;5006.000000
 24.029123;5000.000000;5015.000000
 24.034122;5000.000000;5000.000000
 24.039118;5000.000000;4991.000000
 24.044125;5000.000000;5002.000000
 24.049124;5000.000000;5011.000000
 24.054123;5000.000000;5000.000000
 24.059120;5000.000000;5010.000000
 24.064123;5000.000000;4999.000000
 24.069120;5000.000000;4991.000000
 24.074125;5000.000000;5006.000000
